5_o_Clock_Shadow- Irrelevant
Arched_Eyebrows - Identity
Attractive - Irrelevant
Bags_Under_Eyes - Irrelevant
Bald - Identity
Bangs - Identity
Big_Lips - Identity
Big_Nose - Identity
Black_Hair - Identity
Blond_Hair - Identity
Blurry - Irrelevant
Brown_Hair - Identity
Bushy_Eyebrows - Identity
Chubby - Identity
Double_Chin - Identity
Eyeglasses - Identity
Goatee - Identity
Gray_Hair - Identity
Heavy_Makeup - Irrelevant
High_Cheekbones - Identity
Male - Identity
Mouth_Slightly_Open - Irrelevant
Mustache - Identity
Narrow_Eyes - Identity
No_Beard - Identity
Oval_Face - Identity
Pale_Skin - Irrelevant
Pointy_Nose - Identity
Receding_Hairline - Identity
Rosy_Cheeks - Irrelevant
Sideburns - Irrelevant
Smiling - Irrelevant
Straight_Hair - Identity
Wavy_Hair - Identity
Wearing_Earrings - Irrelevant
Wearing_Hat - Irrelevant
Wearing_Lipstick - Irrelevant
Wearing_Necklace - Irrelevant
Wearing_Necktie - Irrelevant
Young - Identity
